Tag #,COMMON NAME,BOTANICAL NAME,Latitude,Longitude,Height,Diameter,Crown height,Crown Spread,Last Update,Contributors,Notes,Last Inspection,Health,Expert Notes
1568,Coast Redwood,Sequoia sempervirens,37.31857269,-122.045781,46'-60',"21""",,,,,,06/16/2022,60% - Fair,Structural pruning and clearance
1569,Coast Redwood,Sequoia sempervirens,37.31857473,-122.0458509,46'-60',"17""",,,,,,06/16/2022,60% - Fair,Structural pruning and clearance
1570,Coast Redwood,Sequoia sempervirens,37.31860154,-122.0458411,46'-60',"17""",,,,,,06/16/2022,60% - Fair,Structural pruning and clearance
1571,Coast Redwood,Sequoia sempervirens,37.31839057,-122.0455196,46'-60',"27""",,,,,,06/16/2022,60% - Fair,Structural pruning and clearance
1572,Coast Redwood,Sequoia sempervirens,37.31851717,-122.0455218,46'-60',"24""",,,,,,06/16/2022,60% - Fair,Structural pruning and clearance
1573,Coast Redwood,Sequoia sempervirens,37.31857102,-122.0456549,46'-60',"25""",,,,,,06/16/2022,60% - Fair,Structural pruning and clearance
1574,Coast Redwood,Sequoia sempervirens,37.31860515,-122.0457011,46'-60',"23""",,,,,,06/16/2022,60% - Fair,Structural pruning and clearance
1575,Coast Redwood,Sequoia sempervirens,37.31867856,-122.0457645,46'-60',"23""",,,,,,06/16/2022,60% - Fair,Structural pruning and clearance
1576,Coast Redwood,Sequoia sempervirens,37.31866604,-122.0457215,46'-60',"16""",,,,,,06/16/2022,60% - Fair,Structural pruning and clearance
1577,Coast Redwood,Sequoia sempervirens,37.31865393,-122.0456856,46'-60',"24""",,,,,,06/16/2022,60% - Fair,Structural pruning and clearance
1578,Coast Redwood,Sequoia sempervirens,37.31866124,-122.045635,46'-60',"22""",,,,,,06/16/2022,60% - Fair,Structural pruning and clearance
1579,Coast Redwood,Sequoia sempervirens,37.31870811,-122.0457103,46'-60',"19""",,,,,,06/16/2022,60% - Fair,Structural pruning and clearance
1580,Coast Redwood,Sequoia sempervirens,37.31870422,-122.045651,46'-60',"12""",,,,,,06/16/2022,60% - Fair,Structural pruning and clearance
1581,Coast Redwood,Sequoia sempervirens,37.31873997,-122.0456513,46'-60',"17""",,,,,,06/16/2022,60% - Fair,Structural pruning and clearance
1582,Coast Redwood,Sequoia sempervirens,37.31873639,-122.045737,46'-60',,,,,,,06/16/2022,60% - Fair,Structural pruning and clearance
1583,Coast Redwood,Sequoia sempervirens,37.31875082,-122.0457773,46'-60',"15""",,,,,,06/16/2022,60% - Fair,Structural pruning and clearance
1584,Coast Redwood,Sequoia sempervirens,37.3,-122.0,46'-60',"25""",,,,,,06/16/2022,60% - Fair,Structural pruning and clearance
1585,Coast Redwood,Sequoia sempervirens,37.31876354,-122.045709,46'-60',"4""",,,,,,06/16/2022,60% - Fair,Structural pruning and clearance
1586,Coast Redwood,Sequoia sempervirens,37.31874633,-122.0457128,16'-30',"15""",,,,,,06/16/2022,60% - Fair,Structural pruning and clearance
1587,Coast Redwood,Sequoia sempervirens,37.31884241,-122.0457806,46'-60',"14""",,,,,,06/16/2022,60% - Fair,Structural pruning and clearance
1588,Coast Redwood,Sequoia sempervirens,37.31886909,-122.0458085,46'-60',"22""",,,,,,06/16/2022,60% - Fair,Structural pruning and clearance
1589,Coast Redwood,Sequoia sempervirens,37.3188967,-122.0457711,46'-60',"30""",,,,,,06/16/2022,60% - Fair,Structural pruning and clearance
1590,Coast Redwood,Sequoia sempervirens,37.31888691,-122.0457381,46'-60',"12""",,,,,,06/16/2022,60% - Fair,Structural pruning and clearance
1591,Coast Redwood,Sequoia sempervirens,37.31893033,-122.0457255,46'-60',"25""",,,,,,06/16/2022,60% - Fair,Structural pruning and clearance
1592,Coast Redwood,Sequoia sempervirens,37.31892921,-122.0457831,46'-60',"13""",,,,,,07/01/2022,0% - Dead,Removal/Grind
1593,Coast Redwood,Sequoia sempervirens,37.31897321,-122.0458078,46'-60',"21""",,,,,,06/16/2022,60% - Fair,Structural pruning and clearance
1594,Coast Redwood,Sequoia sempervirens,37.3189683,-122.0456923,46'-60',"9""",,,,,,06/16/2022,60% - Fair,Structural pruning and clearance
1595,Coast Redwood,Sequoia sempervirens,37.31899712,-122.0456741,46'-60',"23""",,,,,,06/16/2022,60% - Fair,Structural pruning and clearance
1596,Coast Redwood,Sequoia sempervirens,37.31903438,-122.0457003,46'-60',"22""",,,,,,06/16/2022,60% - Fair,Structural pruning and clearance
1597,Coast Redwood,Sequoia sempervirens,37.31880266,-122.0456982,46'-60',"29""",,,,,,06/16/2022,60% - Fair,Structural pruning and clearance
1598,Coast Redwood,Sequoia sempervirens,37.31905792,-122.0457262,46'-60',"21""",,,,,,06/16/2022,60% - Fair,Structural pruning and clearance
1599,Coast Redwood,Sequoia sempervirens,37.3190912,-122.0457286,46'-60',"16""",,,,,,06/16/2022,60% - Fair,Structural pruning and clearance
1600,Coast Redwood,Sequoia sempervirens,37.31912141,-122.045737,46'-60',"22""",,,,,,06/16/2022,60% - Fair,Structural pruning and clearance
1601,Coast Redwood,Sequoia sempervirens,37.31909718,-122.0457832,46'-60',"17""",,,,,,06/16/2022,60% - Fair,Structural pruning and clearance
1602,Coast Redwood,Sequoia sempervirens,37.31915922,-122.0457964,46'-60',"16""",,,,,,06/16/2022,60% - Fair,Structural pruning and clearance
1603,Coast Redwood,Sequoia sempervirens,37.31914049,-122.0458275,46'-60',"19""",,,,,,06/16/2022,60% - Fair,Structural pruning and clearance
1604,Coast Redwood,Sequoia sempervirens,37.31912169,-122.0455478,46'-60',"29""",,,,,,06/16/2022,60% - Fair,Structural pruning and clearance
1605,Coast Redwood,Sequoia sempervirens,37.31911449,-122.0454995,46'-60',"17""",,,,,,06/16/2022,60% - Fair,Structural pruning and clearance
1606,Holly Oak,Quercus ilex,37.31929582,-122.045608,31'-45',"5""",,,,,,06/16/2022,60% - Fair,"Crown clean, crown thin, and end-weight resuction"
1607,Coast Redwood,Sequoia sempervirens,37.31923116,-122.0458983,46'-60',"27""",,,,,,06/16/2022,60% - Fair,Structural pruning and clearance
1608,Coast Redwood,Sequoia sempervirens,37.31928386,-122.0458753,46'-60',"28""",,,,,,06/16/2022,60% - Fair,Structural pruning and clearance
1609,Coast Redwood,Sequoia sempervirens,37.31941621,-122.0458626,46'-60',"16""",,,,,,06/16/2022,60% - Fair,Structural pruning and clearance
1610,Coast Redwood,Sequoia sempervirens,37.31945854,-122.0458748,46'-60',"25""",,,,,,06/16/2022,60% - Fair,Structural pruning and clearance
1611,Coast Redwood,Sequoia sempervirens,37.31949599,-122.045873,46'-60',"33""",,,,,,06/16/2022,60% - Fair,Structural pruning and clearance
1612,Coast Redwood,Sequoia sempervirens,37.31953378,-122.0458878,46'-60',"21""",,,,,,06/16/2022,60% - Fair,Structural pruning and clearance
1613,Coast Redwood,Sequoia sempervirens,37.31957391,-122.0459131,46'-60',"18""",,,,,,06/16/2022,60% - Fair,Structural pruning and clearance
1614,Coast Redwood,Sequoia sempervirens,37.31960355,-122.0459517,46'-60',"24""",,,,,,06/16/2022,60% - Fair,Structural pruning and clearance
1615,Coast Redwood,Sequoia sempervirens,37.31960007,-122.0460001,46'-60',"40""",,,,,,06/16/2022,60% - Fair,Structural pruning and clearance
1616,Coast Redwood,Sequoia sempervirens,37.31955618,-122.0459554,46'-60',"17""",,,,,,06/16/2022,60% - Fair,Structural pruning and clearance
1617,Coast Redwood,Sequoia sempervirens,37.31951047,-122.0459636,46'-60',"23""",,,,,,06/16/2022,60% - Fair,Structural pruning and clearance
1618,Coast Redwood,Sequoia sempervirens,37.3195098,-122.0460154,46'-60',"43""",,,,,,06/16/2022,60% - Fair,Structural pruning and clearance
1619,Coast Live Oak,Quercus agrifolia,37.31954033,-122.0457312,31'-45',"11""",,,,,,06/16/2022,60% - Fair,"Crown clean, crown raise, crown thin, and end-weight reduction"
1620,Coast Live Oak,Quercus agrifolia,37.31955764,-122.0457174,31'-45',"13""",,,,,,06/16/2022,60% - Fair,"Crown clean, crown raise, crown thin, and end-weight reduction"
1621,Coast Live Oak,Quercus agrifolia,37.31957818,-122.0457061,31'-45',"11""",,,,,,06/16/2022,60% - Fair,"Crown clean, crown raise, crown thin, and end-weight reduction"
